OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0009883.5
OG0002590.0	OG0000923.0	OG0000334.9	OG0000010.64	OG0000002.1788	OG0010157.0	OG0004571.0	OG0003370.4	OG0004987.26
-2.3978282092466205	-1.6228207102633614	-2.089267338097087	-1.4568010998066674	-1.3932735249871873	-1.5708929182195004	-1.9899363166553026	-1.4831779765542241	-2.0625049426059476
OG0004942.0	OG0007178.0	OG0000018.842	OG0000000.3460	OG0000486.2	OG0004254.23	OG0004957.0	OG0006699.0	OG0000026.45
-3.4489811672194284	-2.049904905826314	-1.4707287562940685	-2.1694201465224596	-1.8349563505169555	-3.712173132714919	-3.016249351645075	-3.3401484912971684	-1.1872142911325638
OG0011678.0	OG0000132.1	OG0004249.0	OG0000047.282	OG0000429.0	OG0005463.3	OG0000026.45	OG0005889.4	OG0000116.0
-1.3335160691625743	-1.4703289516522169	-1.6743833251783957	-2.4104282460262545	-1.886299500835272	-2.3584539709124765	-1.1872142911325638	-2.47513393541407	-1.732164607902385
OG0000575.28	OG0004677.10	OG0000435.0	OG0000043.242	OG0000011.866	OG0003593.0	OG0004848.14	OG0009860.0
-1.9850734557618972	-3.4151913949577875	-2.039784866105864	-1.1639142882975944	-1.3733272473940066	-2.1228054528737617	-3.368104140946196	-2.668409424133763
OG0004054.20	OG0000099.0	OG0000196.0	OG0008927.0	OG0002573.0	OG0000011.1	OG0001557.1	OG0010881.0	OG0005917.0
-2.9428616956064584	-1.190667880226499	-1.1752728727678972	-2.075824085003446	-1.7374465726807091	-1.347949534477697	-1.6615470596449509	-3.1464354298463855	-2.629054587423364
OG0003623.8	OG0000000.3460	OG0000047.282	OG0004749.2	OG0005153.1	OG0008171.0	OG0000187.1	OG0000026.45
-1.9556758311877986	-2.1694201465224596	-2.4104282460262545	-2.1090475285429777	-2.2997378552532965	-2.2082275957226343	-1.5274082542630671	-1.1872142911325638
OG0004469.6	OG0000010.64	OG0007049.0	OG0000142.14	OG0004723.0	OG0004970.0	OG0001557.1	OG0000026.45	OG0004140.14
-2.7216583413783577	-1.4568010998066674	-2.3118644115426648	-1.5525794954095031	-2.4847921809641793	-2.3936525332754277	-1.6615470596449509	-1.1872142911325638	-2.810966175609983
OG0005494.2	OG0007055.0	OG0000056.0	OG0005681.2	OG0000710.0	OG0005918.2	OG0005445.3	OG0000090.24	OG0000075.0
-2.7480688733114134	-3.0150825945730797	-1.357714316940423	-1.825210106952185	-1.9825056205407274	-2.4719288354212647	-2.043348544428939	-1.3778192957794075	-1.5942254220501242
OG0000054.0	OG0004469.6	OG0004934.6	OG0000000.3460	OG0003381.2	OG0000429.0	OG0008961.0	OG0001557.1	OG0008149.4
-1.5576668766702486	-2.7216583413783577	-2.9126729482025246	-2.1694201465224596	-1.5491978471201813	-1.886299500835272	-1.7264244343846205	-1.6615470596449509	-1.977099597889921
OG0000265.0	OG0007059.0	OG0000239.0	OG0000018.289	OG0005643.0	OG0000121.128	OG0003313.1	OG0003731.0	OG0007715.0
-2.897543423349266	-2.5274082542630674	-1.7107557148433576	-1.58337640836713	-2.446148031818874	-2.13384372432621	-3.2189341015640367	-2.3481331652347563	-3.3023685001688015
OG0005613.0	OG0006081.0	OG0000054.0	OG0000239.0	OG0005229.4	OG0000015.773	OG0000200.0	OG0012118.4	OG0004243.8
-2.3147325934831584	-2.49817873457909	-1.5576668766702486	-1.7107557148433576	-2.229044129208878	-0.9905094970525475	-1.6481455608676208	-2.968040258602455	-3.7193761974157025
OG0016024.0	OG0009134.2	OG0000228.54	OG0000196.0	OG0000007.976	OG0004724.0	OG0005463.3	OG0000043.242	OG0004814.0
-2.8609234849538883	-2.865647613376637	-1.3025820060825506	-1.1752728727678972	-1.3154505308161575	-2.180495303958067	-2.3584539709124765	-1.1639142882975944	-1.99136969485656
OG0005011.0	OG0007289.0	OG0004254.23	OG0000100.1	OG0000074.152	OG0003588.2	OG0004479.1	OG0000001.1420	OG0000350.8
-2.346664773208869	-2.252225928257295	-3.712173132714919	-1.4305089080412838	-1.6375581658743559	-1.7485535684414182	-2.49817873457909	-1.3147325934831586	-1.4568010998066674
OG0000012.918	OG0011419.0	OG0004934.6	OG0000177.8	OG0005891.2	OG0000486.2	OG0005315.0	OG0014533.2	OG0000127.0
-1.4031602455622152	-1.1112275322575584	-2.9126729482025246	-2.107803289534515	-1.8756718649977986	-1.8349563505169555	-3.291945228671648	-2.0200478420483305	-1.4623560380701153
OG0011419.0	OG0000109.0	OG0000132.40	OG0000196.0	OG0005315.0	OG0004933.6	OG0000032.252	OG0005665.0	OG0014531.2
-1.1112275322575584	-1.6975932054422744	-1.6201572725083175	-1.1752728727678972	-3.291945228671648	-2.5332423842738288	-1.542458237592193	-2.239225505557113	-2.965784284662087
OG0011155.4	OG0004329.0	OG0000109.0	OG0000192.0	OG0007029.0	OG0004239.0	OG0006875.0	OG0000043.242	OG0000013.2
-2.268121651191569	-1.9839316313723467	-1.6975932054422744	-1.5657587667480637	-1.833670182079369	-3.1253210507925444	-2.566185915541973	-1.1639142882975944	-1.2726458463191588
OG0000923.0	OG0006800.0	OG0006578.0	OG0001608.24	OG0004809.0	OG0000090.24	OG0000001.1420	OG0004455.4	OG0000007.3
-1.6228207102633614	-1.6864058534276087	-2.096036233197022	-1.332425734024981	-2.620600837474422	-1.3778192957794075	-1.3147325934831586	-2.8900377466011817	-1.4564051357473986
OG0005640.2	OG0011449.0	OG0000000.3460	OG0000429.0	OG0003245.24	OG0000200.0	OG0000006.561	OG0006584.0	OG0003622.40
-3.2709040918628958	-2.207561069935362	-2.1694201465224596	-1.886299500835272	-1.9301603749313658	-1.6481455608676208	-1.4663369871769107	-1.4862060929130136	-3.8666995237702233
OG0000923.0	OG0012277.3	OG0006800.0	OG0000007.976	OG0000429.0	OG0006117.2	OG0003278.0	OG0000102.0	OG0005817.0
-1.6228207102633614	-2.9976935326168315	-1.6864058534276087	-1.3154505308161575	-1.886299500835272	-1.6353155180717716	-1.742506552123844	-1.5153978056277968	-2.0165411884096764
OG0000018.842	OG0000010.64	OG0005490.6	OG0004239.0	OG0000048.325	OG0007712.0	OG0000013.2	OG0000442.2
-1.4707287562940685	-1.4568010998066674	-3.349382474621595	-3.1253210507925444	-3.139235797371172	-1.5990249563269134	-1.2726458463191588	-1.386468347082073
OG0008447.4	OG0000923.0	OG0000039.0	OG0005141.0	OG0000192.0	OG0000001.425	OG0005465.0	OG0004579.2
-1.905358545884938	-1.6228207102633614	-1.3222888137393203	-2.3011592297927903	-1.5657587667480637	-1.2827897009804041	-2.11966711132536	-2.134793803412827
OG0000010.64	OG0005109.6	OG0000007.976	OG0004580.6	OG0006379.10	OG0000169.16	OG0005468.0	OG0000442.2
-1.4568010998066674	-2.2505086383974753	-1.3154505308161575	-2.326262685151254	-2.110292841560213	-1.6402539530945293	-2.435963338133392	-1.386468347082073
OG0000112.0	OG0005640.2	OG0016024.0	OG0000010.64	OG0000486.2	OG0008562.0	OG0005116.0	OG0000011.1	OG0003897.10
-1.2012443860853812	-3.2709040918628958	-2.8609234849538883	-1.4568010998066674	-1.8349563505169555	-2.6597225952337458	-2.4297313844218773	-1.347949534477697	-1.8018830708475446
OG0004029.0	OG0000109.0	OG0000009.921	OG0008562.0	OG0005298.1	OG0006833.2	OG0000090.24	OG0000102.0	OG0003198.2
-1.991082905263947	-1.6975932054422744	-1.4908615842822894	-2.6597225952337458	-2.9691695698467258	-2.192974874501356	-1.3778192957794075	-1.5153978056277968	-2.0555912954672277
OG0000575.28	OG0007228.0	OG0003424.0	OG0002444.1	OG0014036.0	OG0000200.0	OG0000026.45	OG0000043.242	OG0003914.5
-1.9850734557618972	-3.1558554189406562	-1.5116906642966368	-2.3378856687903387	-3.9556758311877984	-1.6481455608676208	-1.1872142911325638	-1.1639142882975944	-2.5403585500713883
OG0000575.28	OG0000265.0	OG0000923.0	OG0002964.14	OG0006592.0	OG0000039.0	OG0006414.0	OG0008987.2	OG0005145.0
-1.9850734557618972	-2.897543423349266	-1.6228207102633614	-1.8076795649655009	-1.1729939903610231	-1.3222888137393203	-2.1975999598851605	-1.5825120014863339	-3.801078444479287
OG0009984.0	OG0008531.0	OG0005093.2	OG0004580.6	OG0000187.1	OG0000200.0	OG0004569.0	OG0000043.242	OG0000011.866
-2.294066319532853	-2.1772290697332237	-2.0522964439469233	-2.326262685151254	-1.5274082542630671	-1.6481455608676208	-2.1821311982720135	-1.1639142882975944	-1.3733272473940066
OG0005169.0	OG0005431.0	OG0000196.0	OG0000007.976	OG0004719.0	OG0005093.2	OG0000710.0	OG0004289.0	OG0000007.3
-2.5950968778548695	-3.522509172896282	-1.1752728727678972	-1.3154505308161575	-1.133052469416402	-2.0522964439469233	-1.9825056205407274	-1.3032939207483112	-1.4564051357473986
OG0013952.2	OG0004576.6	OG0000245.24	OG0004724.0	OG0000710.0	OG0005889.4	OG0000011.866	OG0005112.6	OG0000127.0
-2.061902438925907	-2.173970213500261	-1.367731784500487	-2.180495303958067	-1.9825056205407274	-2.47513393541407	-1.3733272473940066	-1.9624069244597668	-1.4623560380701153
OG0004494.1	OG0010688.2	OG0006370.4	OG0005681.2	OG0000121.128	OG0006875.0	OG0000001.1420	OG0000350.8	OG0000015.1
-2.3244550229164016	-2.1430541367175673	-1.8028894852873039	-1.825210106952185	-2.13384372432621	-2.566185915541973	-1.3147325934831586	-1.4568010998066674	-1.0081017984969645
OG0002858.1	OG0000099.0	OG0007540.0	OG0000039.0	OG0000192.0	OG0000435.0	OG0015349.0	OG0004579.2	OG0003818.6
-2.49817873457909	-1.190667880226499	-1.8927138650477777	-1.3222888137393203	-1.5657587667480637	-2.039784866105864	-3.5513950166558668	-2.134793803412827	-1.917569900054051
OG0000923.0	OG0000196.0	OG0009159.0	OG0000001.425	OG0004840.3	OG0011177.0	OG0006416.0	OG0000006.561	OG0002991.24
-1.6228207102633614	-1.1752728727678972	-1.5961869383834104	-1.2827897009804041	-2.380821783940931	-2.4679324477109694	-3.016249351645075	-1.4663369871769107	-1.8836352433082157
OG0000334.9	OG0007409.0	OG0000228.54	OG0005315.0	OG0004800.28	OG0000015.773	OG0006877.0	OG0006833.2	OG0000013.2
-2.089267338097087	-1.4239132758205997	-1.3025820060825506	-3.291945228671648	-2.038895320270947	-0.9905094970525475	-3.7960596714471806	-2.192974874501356	-1.2726458463191588
OG0006142.4	OG0012073.2	OG0000142.14	OG0000056.0	OG0006859.2	OG0004970.0	OG0005081.18	OG0000435.0	OG0000116.0
-1.6964238003033594	-2.321567466203848	-1.5525794954095031	-1.357714316940423	-2.701341684435485	-2.3936525332754277	-2.7446805592942116	-2.039784866105864	-1.732164607902385
OG0005613.0	OG0003514.0	OG0003121.6	OG0000009.921	OG0000192.0	OG0000121.128	OG0000043.242	OG0014532.2	OG0007712.0
-2.3147325934831584	-1.897543423349266	-1.5086086399651577	-1.4908615842822894	-1.5657587667480637	-2.13384372432621	-1.1639142882975944	-3.6697858227506983	-1.5990249563269134
OG0002485.15	OG0000176.0	OG0005681.2	OG0012130.2	OG0005050.1	OG0000010.475	OG0000074.152	OG0000090.24	OG0004964.6
-2.25635578329374	-1.873555700275309	-1.825210106952185	-3.217591435072627	-1.870651032789159	-1.5407782431771522	-1.6375581658743559	-1.3778192957794075	-2.4900508536956893
OG0000012.918	OG0004678.12	OG0003508.0	OG0000177.8	OG0002555.0	OG0000121.128	OG0003553.40	OG0005682.0	OG0000102.0
-1.4031602455622152	-2.3408061050930518	-2.0291463456595165	-2.107803289534515	-1.9691695698467255	-2.13384372432621	-2.3842070691255692	-2.1456053222468996	-1.5153978056277968
OG0014530.2	OG0000923.0	OG0006825.0	OG0004576.6	OG0004254.23	OG0005643.0	OG0000169.16	OG0000105.0	OG0000013.2
-3.2276920250415966	-1.6228207102633614	-1.819088336631431	-2.173970213500261	-3.712173132714919	-2.446148031818874	-1.6402539530945293	-1.6148451031156563	-1.2726458463191588
OG0000310.18	OG0007098.2	OG0000228.54	OG0000056.0	OG0005152.7	OG0006117.2	OG0000119.0	OG0006833.2	OG0005644.0
-1.6157291074575852	-2.1159100908664668	-1.3025820060825506	-1.357714316940423	-1.7081607267428855	-1.6353155180717716	-2.414268267034073	-2.192974874501356	-2.2997378552532965
OG0000995.122	OG0004245.1	OG0005940.0	OG0003526.0	OG0000486.2	OG0000192.0	OG0000026.45	OG0000116.0	OG0016018.0
-2.539519529959989	-2.67116353577046	-2.448114896528275	-2.962406924459767	-1.8349563505169555	-1.5657587667480637	-1.1872142911325638	-1.732164607902385	-2.8119789485830515
OG0011908.0	OG0005460.0	OG0000109.0	OG0005671.4	OG0000239.0	OG0006118.4	OG0000002.1788	OG0003568.0	OG0000035.64
-2.9083340124781873	-2.707453812049662	-1.6975932054422744	-2.0991235338421013	-1.7107557148433576	-2.334243417320602	-1.3932735249871873	-1.656535323845471	-1.6321816563938067
OG0005613.0	OG0000027.457	OG0007344.0	OG0006859.2	OG0000429.0	OG0000071.0	OG0000435.0	OG0004809.0	OG0004757.2
-2.3147325934831584	-2.107803289534515	-2.131629303260768	-2.701341684435485	-1.886299500835272	-1.5006260549978325	-2.039784866105864	-2.620600837474422	-1.7034544918048826
OG0000923.0	OG0000239.0	OG0000001.425	OG0000032.252	OG0003245.24	OG0005902.0	OG0007219.4	OG0000378.125	OG0006444.0
-1.6228207102633614	-1.7107557148433576	-1.2827897009804041	-1.542458237592193	-1.9301603749313658	-1.8785866690841353	-1.4449691988177917	-2.3011592297927903	-1.8791172667513478
OG0000176.0	OG0004113.4	OG0000334.9	OG0009795.0	OG0003387.0	OG0005870.0	OG0000121.128	OG0002869.0	OG0000013.2
-1.873555700275309	-2.1491205849119286	-2.089267338097087	-3.417347659966045	-2.297608415691949	-2.6610907271910786	-2.13384372432621	-2.187378560422908	-1.2726458463191588
OG0000310.18	OG0000923.0	OG0004328.0	OG0000039.0	OG0008605.0	OG0005643.0	OG0000105.0	OG0004977.0	OG0013588.0
-1.6157291074575852	-1.6228207102633614	-2.3008037548517564	-1.3222888137393203	-2.672082742581352	-2.446148031818874	-1.6148451031156563	-1.8316146945852478	-1.5559690888416073
OG0011175.0	OG0000109.0	OG0000239.0	OG0000018.289	OG0002447.0	OG0004289.0	OG0005933.6	OG0007186.0	OG0000127.0
-3.372579930598799	-1.6975932054422744	-1.7107557148433576	-1.58337640836713	-2.128787175742486	-1.3032939207483112	-2.1440103026915196	-2.415037499278844	-1.4623560380701153
OG0000112.0	OG0010101.0	OG0000056.0	OG0004724.0	OG0003818.6	OG0000007.585	OG0006687.0	OG0006143.2	OG0000442.2
-1.2012443860853812	-2.6268251092468837	-1.357714316940423	-2.180495303958067	-1.917569900054051	-1.347215245091244	-2.157141816744023	-2.9765317194960947	-1.386468347082073
OG0000575.28	OG0007019.0	OG0000010.64	OG0005153.1	OG0002709.2	OG0000307.20	OG0003505.8	OG0000006.561	OG0006404.2
-1.9850734557618972	-3.3308280649349147	-1.4568010998066674	-2.2997378552532965	-2.7495234474970305	-1.1504009888485485	-2.887900420223765	-1.4663369871769107	-1.6940878298433792
OG0001709.27	OG0000000.3460	OG0010749.0	OG0000192.0	OG0004933.6	OG0004451.2	OG0003168.0	OG0000013.2	OG0000442.2
-2.1645609467758744	-2.1694201465224596	-3.0709665213541433	-1.5657587667480637	-2.5332423842738288	-2.2440015162022933	-1.5530027593236113	-1.2726458463191588	-1.386468347082073
OG0000054.0	OG0000196.0	OG0006855.18	OG0000307.20	OG0000071.0	OG0006877.0	OG0009014.0	OG0005073.0	OG0005828.2
-1.5576668766702486	-1.1752728727678972	-2.964657619207803	-1.1504009888485485	-1.5006260549978325	-3.7960596714471806	-2.972562817293149	-1.8635460907313492	-2.392894616241506
OG0000310.18	OG0000035.64	OG0008920.2	OG0000047.282	OG0004749.2	OG0005840.28	OG0000026.45	OG0005095.4	OG0003049.0
-1.6157291074575852	-1.6321816563938067	-2.149440579377228	-2.4104282460262545	-2.1090475285429777	-3.012169823462727	-1.1872142911325638	-2.5773364083449786	-2.0165411884096764
OG0001610.50	OG0002769.24	OG0012203.4	OG0000228.54	OG0000245.24	OG0009102.2	OG0000119.0	OG0000006.561	OG0004455.4
-2.0180012584066676	-1.6443071024337756	-1.4299257260455145	-1.3025820060825506	-1.367731784500487	-1.9143034193207538	-2.414268267034073	-1.4663369871769107	-2.8900377466011817
OG0003502.3	OG0000196.0	OG0007330.1	OG0000039.0	OG0006837.2	OG0012665.4	OG0006082.0	OG0000435.0	OG0000043.242
-2.8447688837007212	-1.1752728727678972	-2.3408061050930518	-1.3222888137393203	-2.0800879113226918	-2.530739153384002	-1.5674681212618837	-2.039784866105864	-1.1639142882975944
OG0007097.14	OG0012667.0	OG0004054.20	OG0004998.0	OG0004453.2	OG0000047.282	OG0000060.0	OG0000169.16	OG0000026.45
-2.1989241408325424	-2.6803820657998387	-2.9428616956064584	-3.9343449753427513	-1.874613394634186	-2.4104282460262545	-1.3061450976464348	-1.6402539530945293	-1.1872142911325638
OG0004942.0	OG0006610.0	OG0006142.4	OG0005229.4	OG0000192.0	OG0000121.128	OG0000001.1420	OG0010736.0	OG0000075.0
-3.4489811672194284	-2.0329789903027757	-1.6964238003033594	-2.229044129208878	-1.5657587667480637	-2.13384372432621	-1.3147325934831586	-2.7150121530621574	-1.5942254220501242
OG0000112.0	OG0007097.14	OG0004245.1	OG0003795.5	OG0006839.0	OG0000011.1	OG0003245.24	OG0000007.3	OG0000442.2
-1.2012443860853812	-2.1989241408325424	-2.67116353577046	-2.1240627035336246	-1.218262612121666	-1.347949534477697	-1.9301603749313658	-1.4564051357473986	-1.386468347082073
OG0000310.18	OG0000000.3460	OG0009101.0	OG0000047.282	OG0002765.0	OG0001645.0	OG0006416.0	OG0000011.866	OG0010545.0
-1.6157291074575852	-2.1694201465224596	-2.8815073741305954	-2.4104282460262545	-1.5236701622428623	-1.5004219529898684	-3.016249351645075	-1.3733272473940066	-2.46315134957917
OG0000112.0	OG0007178.0	OG0000010.64	OG0000228.54	OG0006136.0	OG0005681.2	OG0005328.10	OG0006820.0	OG0000006.561
-1.2012443860853812	-2.049904905826314	-1.4568010998066674	-1.3025820060825506	-2.3093594213843067	-1.825210106952185	-3.065521241093117	-1.9181150332707726	-1.4663369871769107
OG0000265.0	OG0000923.0	OG0007178.0	OG0003385.20	OG0004976.2	OG0003251.1	OG0000018.289	OG0000349.0
-2.897543423349266	-1.6228207102633614	-2.049904905826314	-1.9788045754855104	-3.1610079067062595	-1.8270005274082377	-1.58337640836713	-2.286304185156641
OG0000054.0	OG0004329.0	OG0004494.1	OG0007733.0	OG0000100.1	OG0000169.16	OG0000074.152	OG0004521.26	OG0006389.4
-1.5576668766702486	-1.9839316313723467	-2.3244550229164016	-2.372206417317518	-1.4305089080412838	-1.6402539530945293	-1.6375581658743559	-2.523255415929559	-1.8119789485830515
OG0000310.18	OG0001618.1	OG0000228.54	OG0004605.20	OG0000032.252	OG0000119.0	OG0006844.0	OG0005711.0
-1.6157291074575852	-1.3176064889372687	-1.3025820060825506	-2.6099927379084407	-1.542458237592193	-2.414268267034073	-2.2542893780119995	-1.3827015171591537
OG0002604.2	OG0000239.0	OG0007722.2	OG0000121.128	OG0001542.128	OG0005247.0	OG0000009.1514	OG0000013.2	OG0000015.1
-1.697125329634415	-1.7107557148433576	-2.23854450717728	-2.13384372432621	-1.4108117885091431	-2.5933544923279976	-3.2467377807321434	-1.2726458463191588	-1.0081017984969645
OG0000012.918	OG0003635.0	OG0003535.14	OG0000245.24	OG0011271.6	OG0000121.128	OG0000574.1	OG0011447.0	OG0000007.3
-1.4031602455622152	-2.648371670897218	-1.5859727408750985	-1.367731784500487	-2.6947882239218117	-2.13384372432621	-2.40621599473934	-2.5994620704162714	-1.4564051357473986
OG0005494.2	OG0006461.4	OG0000382.10	OG0012677.4	OG0000018.289	OG0000139.0	OG0000121.128	OG0000043.242	OG0003614.8
-2.7480688733114134	-3.095419565078682	-3.0344557997682955	-1.7461317195582806	-1.58337640836713	-1.5587290095614008	-2.13384372432621	-1.1639142882975944	-2.6082322800440036
OG0000310.18	OG0001610.50	OG0005940.0	OG0004895.0	OG0005353.1	OG0000047.282	OG0000010.475	OG0000007.585	OG0003588.2
-1.6157291074575852	-2.0180012584066676	-2.448114896528275	-2.0673340518542216	-1.544981903030275	-2.4104282460262545	-1.5407782431771522	-1.347215245091244	-1.7485535684414182
OG0004678.12	OG0004998.0	OG0011369.2	OG0000100.1	OG0000169.16	OG0001557.1	OG0000026.45	OG0007195.0
-2.3408061050930518	-3.9343449753427513	-2.6506347224057865	-1.4305089080412838	-1.6402539530945293	-1.6615470596449509	-1.1872142911325638	-2.061902438925907
OG0000045.0	OG0003748.2	OG0000245.24	OG0014619.0	OG0000486.2	OG0003505.8	OG0002555.0	OG0005817.0	OG0000075.0
-1.3462979086065388	-1.2833163281229152	-1.367731784500487	-2.742265197871355	-1.8349563505169555	-2.887900420223765	-1.9691695698467255	-2.0165411884096764	-1.5942254220501242
OG0004942.0	OG0011006.0	OG0012138.0	OG0000177.8	OG0000009.921	OG0006859.2	OG0000074.152	OG0005066.2	OG0000075.0
-3.4489811672194284	-2.0782590139204995	-2.3233715117570313	-2.107803289534515	-1.4908615842822894	-2.701341684435485	-1.6375581658743559	-2.1999180747615488	-1.5942254220501242
OG0002284.0	OG0009117.4	OG0000132.40	OG0003424.0	OG0000142.14	OG0003831.0	OG0013032.0	OG0000011.1	OG0000435.0
-1.690590950759881	-2.335699214659963	-1.6201572725083175	-1.5116906642966368	-1.5525794954095031	-2.038598926835721	-1.3718330007136763	-1.347949534477697	-2.039784866105864
OG0000310.18	OG0009263.0	OG0000228.54	OG0000443.1	OG0000011.1	OG0000048.325	OG0005447.3	OG0006389.4	OG0000007.3
-1.6157291074575852	-1.539519529959989	-1.3025820060825506	-1.9890769728152082	-1.347949534477697	-3.139235797371172	-3.390623251236693	-1.8119789485830515	-1.4564051357473986
OG0002284.0	OG0000109.0	OG0012089.2	OG0000142.14	OG0003169.0	OG0003204.0	OG0000116.0	OG0000011.866	OG0008074.12
-1.690590950759881	-1.6975932054422744	-1.8857662555729122	-1.5525794954095031	-2.128787175742486	-3.0721793798037935	-1.732164607902385	-1.3733272473940066	-2.1610079067062595
OG0002420.1	OG0005700.0	OG0000010.64	OG0012277.3	OG0000196.0	OG0000018.289	OG0000074.152	OG0003833.22	OG0001601.50
-2.9601597354682094	-1.8698598646635514	-1.4568010998066674	-2.9976935326168315	-1.1752728727678972	-1.58337640836713	-1.6375581658743559	-2.343732465205711	-1.863283615511688
OG0002485.15	OG0004961.2	OG0000132.40	OG0009973.0	OG0000228.54	OG0005247.0	OG0007596.0	OG0000350.8	OG0000013.2
-2.25635578329374	-2.9948156241402772	-1.6201572725083175	-2.41119543298445	-1.3025820060825506	-2.5933544923279976	-2.513872605362513	-1.4568010998066674	-1.2726458463191588
OG0004737.6	OG0000099.0	OG0000142.14	OG0000047.282	OG0008483.2	OG0011288.6	OG0000011.866	OG0003588.2	OG0005764.0
-2.703219582573575	-1.190667880226499	-1.5525794954095031	-2.4104282460262545	-2.545402943465451	-1.7911082249738468	-1.3733272473940066	-1.7485535684414182	-2.6241542753321765
OG0000310.18	OG0000176.0	OG0005660.0	OG0007733.0	OG0000002.1788	OG0003800.0	OG0004977.0	OG0013713.0	OG0000442.2
-1.6157291074575852	-1.873555700275309	-2.5088139035410735	-2.372206417317518	-1.3932735249871873	-1.8507406345003772	-1.8316146945852478	-2.0267928458865443	-1.386468347082073
OG0008112.0	OG0000109.0	OG0000132.40	OG0000245.24	OG0000018.289	OG0002765.0	OG0006117.2	OG0012076.2	OG0003819.2
-2.091110253026279	-1.6975932054422744	-1.6201572725083175	-1.367731784500487	-1.58337640836713	-1.5236701622428623	-1.6353155180717716	-1.8791172667513478	-2.8614476248473513
OG0008112.0	OG0016024.0	OG0000045.0	OG0000228.54	OG0005872.0	OG0000429.0	OG0003505.8	OG0006117.2	OG0000035.64
-2.091110253026279	-2.8609234849538883	-1.3462979086065388	-1.3025820060825506	-3.8140066299300344	-1.886299500835272	-2.887900420223765	-1.6353155180717716	-1.6321816563938067
OG0006142.4	OG0007409.0	OG0003385.20	OG0001922.12	OG0000245.24	OG0000039.0	OG0015295.0	OG0000075.0	OG0000442.2
-1.6964238003033594	-1.4239132758205997	-1.9788045754855104	-2.321206927643708	-1.367731784500487	-1.3222888137393203	-1.9034682573063713	-1.5942254220501242	-1.386468347082073
OG0000923.0	OG0004329.0	OG0009935.2	OG0000142.14	OG0006118.4	OG0000039.0	OG0013032.0	OG0000043.242	OG0005145.0
-1.6228207102633614	-1.9839316313723467	-2.617941491023932	-1.5525794954095031	-2.334243417320602	-1.3222888137393203	-1.3718330007136763	-1.1639142882975944	-3.801078444479287
OG0009893.3	OG0000334.9	OG0002713.0	OG0000002.1788	OG0000071.0	OG0001557.1	OG0012741.0	OG0004840.3	OG0006418.0
-1.8698598646635514	-2.089267338097087	-2.599899316984519	-1.3932735249871873	-1.5006260549978325	-1.6615470596449509	-2.1707187020024685	-2.380821783940931	-3.151362038095294
OG0005679.1	OG0003635.0	OG0000047.282	OG0000018.289	OG0006577.0	OG0000060.0	OG0006877.0	OG0000090.24	OG0003726.9
-1.8577826381961766	-2.648371670897218	-2.4104282460262545	-1.58337640836713	-1.7886139383205706	-1.3061450976464348	-3.7960596714471806	-1.3778192957794075	-3.505697044545254
OG0000112.0	OG0006511.0	OG0004970.0	OG0004376.0	OG0000015.773	OG0000026.45	OG0012965.0	OG0006875.0	OG0000442.2
-1.2012443860853812	-2.9595984847157935	-2.3936525332754277	-2.637558165874356	-0.9905094970525475	-1.1872142911325638	-0.9683225035492398	-2.566185915541973	-1.386468347082073
OG0005282.0	OG0013520.0	OG0012677.4	OG0000196.0	OG0000056.0	OG0004975.0	OG0000001.425	OG0000121.128	OG0004977.0
-3.22431729826094	-2.7998723457263983	-1.7461317195582806	-1.1752728727678972	-1.357714316940423	-2.7312063248775216	-1.2827897009804041	-2.13384372432621	-1.8316146945852478
OG0003399.1	OG0000142.14	OG0007630.0	OG0003155.34	OG0004724.0	OG0000307.20	OG0000032.252	OG0000015.773	OG0003370.4
-2.617941491023932	-1.5525794954095031	-2.40087267366503	-2.9072513144604764	-2.180495303958067	-1.1504009888485485	-1.542458237592193	-0.9905094970525475	-1.4831779765542241
OG0000109.0	OG0000132.40	OG0000045.0	OG0006103.0	OG0000187.1	OG0008132.12	OG0011456.0	OG0006844.0	OG0003777.2
-1.6975932054422744	-1.6201572725083175	-1.3462979086065388	-2.798868033092113	-1.5274082542630671	-3.456167609466223	-1.6170561304310094	-2.2542893780119995	-1.9034682573063713
OG0004677.10	OG0012883.0	OG0006461.4	OG0000109.0	OG0005518.0	OG0000045.0	OG0000245.24	OG0000000.3460	OG0003819.2
-3.4151913949577875	-2.441438468199543	-3.095419565078682	-1.6975932054422744	-1.213236378814949	-1.3462979086065388	-1.367731784500487	-2.1694201465224596	-2.8614476248473513
OG0004737.6	OG0011461.0	OG0004106.0	OG0008752.0	OG0000109.0	OG0000142.14	OG0000056.0	OG0002448.22	OG0000035.64
-2.703219582573575	-2.6474674433271037	-1.9691695698467255	-1.565545239767597	-1.6975932054422744	-1.5525794954095031	-1.357714316940423	-2.3518106972818624	-1.6321816563938067
OG0000176.0	OG0000142.14	OG0004724.0	OG0007401.0	OG0008366.0	OG0000032.252	OG0001557.1	OG0005105.0	OG0003679.0
-1.873555700275309	-1.5525794954095031	-2.180495303958067	-2.360304766600418	-1.8868329432672653	-1.542458237592193	-1.6615470596449509	-2.0603972796439565	-2.5257456841673576
